wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,Moby_pron,Rep_P,Rep_O
fawn,1021,2.268888889,0.10836298646561694,31.953090617340916,7.622641710937598e-05,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/
scold,1908,4.24,0.15153355837263813,43.68065933568311,0.00010420338357903185,sk/oU/ld,_/s/k/o/l/d/_/,_/s/c/o/l/d/_/_/
crotch,1237,2.748888889,0.12089770038803838,35.17101079013795,8.390299926707133e-05,kr/A/tS/,_/k/r/a/C/_/_/,_/c/r/o/t/c/h/_/
sooth,33,0.073333333,0.05,5.744562646538029,1.370407118516127e-05,s/u/T/,_/_/s/u/T/_/_/,_/_/s/o/o/t/h/_/
crouch,4339,9.642222222000001,0.21635352906671595,65.87108622149782,0.0001571402576952167,kr/AU/tS/,_/k/r/A/C/_/_/,_/c/r/o/u/c/h/_/
stern,2477,5.504444444,0.17130999144384668,49.76946855251722,0.00011872867994613593,st/@/rn,_/s/t/^/r/n/_/,_/s/t/e/r/n/_/_/
copse,171,0.38,0.05,13.076696830622021,3.119540951330987e-05,k/A/ps,_/_/k/a/p/s/_/,_/_/c/o/p/s/e/_/
wand,1199,2.664444444,0.11881335099293056,34.62657938636157,8.260421863365182e-05,w/A/nd,_/_/w/a/n/d/_/,_/_/w/a/n/d/_/_/
want,596426,1325.391111,0.6578186548438864,772.2862163731786,0.0018423448286137229,w/A/nt,_/_/w/a/n/t/_/,_/_/w/a/n/t/_/_/
krait,25,0.055555556,0.05,5.0,1.1927862944814479e-05,kr/aI/t,_/k/r/Y/t/_/_/,_/k/r/a/i/t/_/_/
wrong,77748,172.77333330000002,0.47187244708501674,278.83328352260963,0.0006651770380620571,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/
fir,1666,3.702222222,0.1416266613207478,40.8166632639171,9.737111305532943e-05,f/@/r,_/_/f/^/r/_/_/,_/_/f/i/r/_/_/_/
fit,46128,102.5066667,0.4244710684825888,214.77430013854078,0.0005123596832241928,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/
fix,27563,61.25111111,0.37795310778399094,166.0210829985156,0.00039605534479119264,f/I/ks,_/_/f/I/k/s/_/,_/_/f/i/x/_/_/_/
fib,260,0.577777778,0.05,16.1245154965971,3.846620217898947e-05,f/I/b,_/_/f/I/b/_/_/,_/_/f/i/b/_/_/_/
fig,13326,29.61333333,0.3130203395711175,115.43829520570719,0.00027538643275934195,f/I/g,_/_/f/I/g/_/_/,_/_/f/i/g/_/_/_/
fie,60,0.133333333,0.05,7.745966692414834,1.8478565816444416e-05,f/aI/,_/_/f/Y/_/_/_/,_/_/f/i/e/_/_/_/
fin,1117,2.482222222,0.11414690620491143,33.421549934136806,7.972953340353145e-05,f/I/n,_/_/f/I/n/_/_/,_/_/f/i/n/_/_/_/
smirk,1835,4.077777778,0.14865646375881175,42.83689998120779,0.00010219053439131451,sm/@/rk,_/s/m/^/r/k/_/,_/s/m/i/r/k/_/_/
friend,165786,368.41333330000003,0.5408694469451075,407.1682698835949,0.0009713294637297506,fr/E/nd,_/f/r/E/n/d/_/,_/f/r/i/e/n/d/_/
pomp,400,0.8888888890000001,0.0581853468737913,20.0,4.7711451779257916e-05,p/A/mp,_/_/p/a/m/p/_/,_/_/p/o/m/p/_/_/
mouth,47034,104.52,0.4262335379054548,216.8732348631338,0.0005173668443692042,m/AU/T/,_/_/m/A/T/_/_/,_/_/m/o/u/t/h/_/
tech,14081,31.29111111,0.317901805938413,118.66338946785567,0.00028308012922794487,t/E/k,_/_/t/E/k/_/_/,_/_/t/e/c/h/_/_/
scream,26722,59.38222222,0.37516440164842824,163.46865142895135,0.00038996633400363665,skr/i/m,s/k/r/i/m/_/_/,s/c/r/e/a/m/_/_/
bliss,1927,4.282222222,0.15226778499022275,43.89760813529594,0.00010472093068859661,bl/I/s,_/b/l/I/s/_/_/,_/b/l/i/s/s/_/_/
rich,41169,91.48666667,0.4141721228913986,202.90145391297716,0.0004840361467155166,r/I/tS/,_/_/r/I/C/_/_/,_/_/r/i/c/h/_/_/
rice,20415,45.36666667,0.3510011448617325,142.88106942488918,0.00034085316270172016,r/aI/s,_/_/r/Y/s/_/_/,_/_/r/i/c/e/_/_/
plate,28888,64.19555556,0.3821812184979073,169.96470221784287,0.00040546313470212706,pl/eI/t,_/p/l/e/t/_/_/,_/p/l/a/t/e/_/_/
patch,12191,27.09111111,0.3051539764696938,110.41286156965592,0.0002633978960295259,p/&/tS/,_/_/p/@/C/_/_/,_/_/p/a/t/c/h/_/
loth,89,0.19777777800000002,0.05,9.433981132056603,2.2505446793427382e-05,l/oU/T/,_/_/l/o/T/_/_/,_/_/l/o/t/h/_/_/
ire,729,1.62,0.08811890194758697,27.0,6.441045990199819e-05,/aI/r,_/_/_/Y/r/_/_/,_/_/_/i/r/e/_/_/
veep,118,0.262222222,0.05,10.862780491200215,2.5913951379728135e-05,v/i/p,_/_/v/i/p/_/_/,_/_/v/e/e/p/_/_/
veer,2236,4.968888889,0.16344889243270427,47.286361670147556,0.00011280504823208975,v/i/r,_/_/v/i/r/_/_/,_/_/v/e/e/r/_/_/
basque,1085,2.411111111,0.11225927230170515,32.93933818400121,7.857918227033214e-05,b/&/sk,_/_/b/@/s/k/_/,_/_/b/a/s/q/u/e/
blonde,4424,9.831111111,0.2179631081762615,66.51315659326356,0.00015867196317428627,bl/A/nd,_/b/l/a/n/d/_/,_/b/l/o/n/d/e/_/
fro,573,1.273333333,0.07513427077708341,23.93741840717165,5.710444920268455e-05,fr/oU/,_/f/r/o/_/_/_/,_/f/r/o/_/_/_/_/
muck,1229,2.731111111,0.12046281894417694,35.05709628591621,8.363124794831466e-05,m/@/k,_/_/m/^/k/_/_/,_/_/m/u/c/k/_/_/
much,425055,944.5666667000002,0.6268561216124969,651.9624222299933,0.0015553036835057258,m/@/tS/,_/_/m/^/C/_/_/,_/_/m/u/c/h/_/_/
chink,504,1.12,0.06874556289423679,22.44994432064365,5.355597179507073e-05,/tS/I/N/k,_/_/C/I/G/k/_/,_/c/h/i/n/k/_/_/
fry,5507,12.23777778,0.23632036441868484,74.20916385460761,0.00017703134714140803,fr/aI/,_/f/r/Y/_/_/_/,_/f/r/y/_/_/_/_/
spit,7723,17.16222222,0.2652551895848733,87.88060081724521,0.00020964555241121045,sp/I/t,_/s/p/I/t/_/_/,_/s/p/i/t/_/_/_/
barque,32,0.07111111099999999,0.05,5.656854249492381,1.3494836437347297e-05,b/A/rk,_/_/b/a/r/k/_/,_/_/b/a/r/q/u/e/
spic,69,0.15333333300000002,0.05,8.306623862918075,1.9816054194202445e-05,sp/I/k,_/s/p/I/k/_/_/,_/s/p/i/c/_/_/_/
spin,20802,46.22666667,0.352682501867865,144.22898460434365,0.00034406871220607374,sp/I/n,_/s/p/I/n/_/_/,_/s/p/i/n/_/_/_/
boule,18,0.04,0.05,4.242640687119285,1.0121127328010472e-05,b/u/l,_/_/b/u/l/_/_/,_/_/b/o/u/l/e/_/
honk,1361,3.024444444,0.12738670482377518,36.89173349139343,8.800790817639261e-05,h/A/N/k,_/_/h/a/G/k/_/,_/_/h/o/n/k/_/_/
split,16986,37.74666667,0.3345757461492787,130.330349496961,0.0003109125092699043,spl/I/t,s/p/l/I/t/_/_/,s/p/l/i/t/_/_/_/
boiled,1031,2.2911111109999998,0.10898282629884878,32.109188716004645,7.65988004547374e-05,b/Oi/ld,_/_/b/O/l/d/_/,_/_/b/o/i/l/e/d/
plaque,3188,7.084444444,0.19120461484492246,56.462376853972415,0.00013469509853052965,pl/&/k,_/p/l/@/k/_/_/,_/p/l/a/q/u/e/_/
hah,612,1.36,0.07855724308458509,24.73863375370596,5.9015806571233214e-05,h/A/,_/_/h/a/_/_/_/,_/_/h/a/h/_/_/_/
ham,4237,9.415555556000001,0.21438389262524105,65.09224224129939,0.00015528226884497655,h/&/m,_/_/h/@/m/_/_/,_/_/h/a/m/_/_/_/
hag,330,0.7333333329999999,0.050322644944210126,18.16590212458495,4.333607816219269e-05,h/&/g,_/_/h/@/g/_/_/,_/_/h/a/g/_/_/_/
hay,3077,6.8377777779999995,0.18836972813012098,55.47071299343465,0.00013232941240736565,h/eI/,_/_/h/e/_/_/_/,_/_/h/a/y/_/_/_/
haw,234,0.52,0.05,15.297058540778355,3.6492243546641597e-05,h/O/,_/_/h/a/_/_/_/,_/_/h/a/w/_/_/_/
flub,110,0.24444444399999998,0.05,10.488088481701515,2.5020096392564613e-05,fl/@/b,_/f/l/^/b/_/_/,_/f/l/u/b/_/_/_/
crowd,41263,91.69555556,0.41437852323377117,203.13296138244036,0.0004845884245888082,kr/AU/d,_/k/r/A/d/_/_/,_/c/r/o/w/d/_/_/
czech,3581,7.957777778,0.20058949191805253,59.841457201508724,0.0001427561399835155,/tS/E/k,_/_/C/E/k/_/_/,_/c/z/e/c/h/_/_/
crown,10258,22.79555556,0.2899711410184768,101.28178513434683,0.00024161505037772753,kr/AU/n,_/k/r/A/n/_/_/,_/c/r/o/w/n/_/_/
tame,2744,6.097777777999999,0.17929653265405732,52.38320341483518,0.00012496393418849836,t/eI/m,_/_/t/e/m/_/_/,_/_/t/a/m/e/_/_/
tamp,427,0.948888889,0.06104623577361319,20.663978319771825,4.9295420258571224e-05,t/&/mp,_/_/t/@/m/p/_/,_/_/t/a/m/p/_/_/
smashed,596,1.324444444,0.07716840409505213,24.413111231467404,5.823924896509085e-05,sm/&/S/t,_/s/m/@/S/t/_/,_/s/m/a/s/h/e/d/
role,101066,224.5911111,0.4957482881315135,317.9087919514023,0.0007583944998695734,r/oU/l,_/_/r/o/l/_/_/,_/_/r/o/l/e/_/_/
roll,49571,110.15777779999999,0.43099549847402696,222.6454580717963,0.000531136901833165,r/oU/l,_/_/r/o/l/_/_/,_/_/r/o/l/l/_/_/
gown,5603,12.45111111,0.23778298488798616,74.85318964479737,0.0001785677174130699,g/AU/n,_/_/g/A/n/_/_/,_/_/g/o/w/n/_/_/
chain,23842,52.98222222,0.36491408924214025,154.40854898612318,0.00036835280196283003,/tS/eI/n,_/_/C/e/n/_/_/,_/c/h/a/i/n/_/_/
chair,52125,115.83333329999999,0.43555140046783386,228.30900113661747,0.0005446476949250132,/tS/@/r,_/_/C/E/r/_/_/,_/c/h/a/i/r/_/_/
jerk,7442,16.53777778,0.2620543488739744,86.2670273047588,0.00020579625566954628,/dZ/@/rk,_/_/J/^/r/k/_/,_/_/j/e/r/k/_/_/
choice,69639,154.7533333,0.46185650358962904,263.8920233731971,0.0006295335774050548,/tS/Oi/s,_/_/C/O/s/_/_/,_/c/h/o/i/c/e/_/
boost,13226,29.39111111,0.3123538058824723,115.00434774390054,0.000274351219589406,b/u/st,_/_/b/u/s/t/_/,_/_/b/o/o/s/t/_/
ref,800,1.7777777780000001,0.09346883990958631,28.284271247461902,6.747418218673649e-05,r/E/f,_/_/r/E/f/_/_/,_/_/r/e/f/_/_/_/
fledge,117,0.26,0.05,10.816653826391969,2.5803912872541302e-05,fl/E/dZ/,_/f/l/E/J/_/_/,_/f/l/e/d/g/e/_/
queue,1316,2.9244444439999997,0.12508467648832436,36.27671429443411,8.654073523844046e-05,k/j/u/,_/_/k/W/_/_/_/,_/_/q/u/e/u/e/_/
wane,1772,3.937777778,0.1460986114884403,42.09513035969837,0.00010042098911491625,w/eI/n,_/_/w/e/n/_/_/,_/_/w/a/n/e/_/_/
mange,65,0.144444444,0.05,8.06225774829855,1.9233101089494736e-05,m/eI/n/dZ/,_/_/m/e/n/J/_/,_/_/m/a/n/g/e/_/
yearn,2277,5.06,0.164834844826895,47.7179211617606,0.00011383456472578859,/j/@/rn,_/_/j/^/r/n/_/,_/_/y/e/a/r/n/_/
jig,1651,3.6688888889999998,0.14097580719257857,40.63249930782009,9.693177656978946e-05,/dZ/I/g,_/_/J/I/g/_/_/,_/_/j/i/g/_/_/_/
jib,128,0.28444444399999996,0.05,11.313708498984761,2.6989672874694594e-05,/dZ/I/b,_/_/J/I/b/_/_/,_/_/j/i/b/_/_/_/
aft,1452,3.226666667,0.13187206787461503,38.1051177665153,9.090252444300194e-05,/&/ft,_/_/_/@/f/t/_/,_/_/_/a/f/t/_/_/
plunk,815,1.811111111,0.09456016111336363,28.548204847240395,6.810381494767436e-05,pl/@/N/k,_/p/l/^/G/k/_/,_/p/l/u/n/k/_/_/
troll,2374,5.2755555560000005,0.16803255351106458,48.72371086031933,0.00011623394906093155,tr/oU/l,_/t/r/o/l/_/_/,_/t/r/o/l/l/_/_/
byte,869,1.9311111109999999,0.09838452019224045,29.478805945967352,7.032383142005614e-05,b/aI/t,_/_/b/Y/t/_/_/,_/_/b/y/t/e/_/_/
one,1300648,2890.328889,0.7291110909012448,1000.0,0.002385572588962896,w/@/n,_/_/w/^/n/_/_/,_/_/_/o/n/e/_/_/
veldt,65,0.144444444,0.05,8.06225774829855,1.9233101089494736e-05,v/E/lt,_/_/v/E/l/t/_/,_/_/v/e/l/d/t/_/
shawl,1328,2.9511111110000003,0.12570423649600423,36.4417343165772,8.693440247989507e-05,/S/O/l,_/_/S/a/l/_/_/,_/s/h/a/w/l/_/_/
snatch,4742,10.53777778,0.22374551861450712,68.86218120274728,0.0001642757318934699,sn/&/tS/,_/s/n/@/C/_/_/,_/s/n/a/t/c/h/_/
sioux,989,2.1977777780000003,0.10635079791468391,31.448370387032774,7.502237036285784e-05,s/u/,_/_/s/u/_/_/_/,_/_/s/i/o/u/x/_/
zoo,5808,12.90666667,0.24083014207530778,76.2102355330306,0.00018180504888600389,z/u/,_/_/z/u/_/_/_/,_/_/z/o/o/_/_/_/
tike,101,0.224444444,0.05,10.04987562112089,2.3974707804232452e-05,t/aI/k,_/_/t/Y/k/_/_/,_/_/t/i/k/e/_/_/
west,67220,149.37777780000002,0.4586431782135518,259.268200904006,0.0006185031132663218,w/E/st,_/_/w/E/s/t/_/,_/_/w/e/s/t/_/_/
world,345736,768.3022222,0.6079820996988108,587.9931972395599,0.0014027004538313475,w/@/rld,_/_/w/^/r/l/d/,_/_/w/o/r/l/d/_/
gleam,2355,5.233333333,0.16741493800917523,48.52834223420371,0.00011576788302172679,gl/i/m,_/g/l/i/m/_/_/,_/g/l/e/a/m/_/_/
glean,1501,3.335555556,0.13419916582959823,38.742741255621034,9.242362156069147e-05,gl/i/n,_/g/l/i/n/_/_/,_/g/l/e/a/n/_/_/
with,3095076,6877.946667,0.808408261643796,1000.0,0.002385572588962896,w/I/D/,_/_/w/I/D/_/_/,_/_/w/i/t/h/_/_/
pull,103101,229.11333330000002,0.49756412599883965,321.09344434292024,0.0007659917193201537,p/U/l,_/_/p/U/l/_/_/,_/_/p/u/l/l/_/_/
rush,31132,69.18222222,0.3889242264654321,176.44262523551387,0.0004209166902864948,r/@/S/,_/_/r/^/S/_/_/,_/_/r/u/s/h/_/_/
tripe,145,0.322222222,0.05,12.041594578792296,2.872609795457111e-05,tr/aI/p,_/t/r/Y/p/_/_/,_/t/r/i/p/e/_/_/
ruse,616,1.3688888890000002,0.07890118338246618,24.819347291981714,5.920835457570206e-05,r/u/z,_/_/r/u/z/_/_/,_/_/r/u/s/e/_/_/
pulp,2248,4.995555556,0.16385671485311082,47.41307836451879,0.00011310734010474576,p/@/lp,_/_/p/^/l/p/_/,_/_/p/u/l/p/_/_/
rust,2519,5.597777777999999,0.17261343834287335,50.18964036531842,0.00011973103030540933,r/@/st,_/_/r/^/s/t/_/,_/_/r/u/s/t/_/_/
creak,1709,3.797777778,0.14346718396035782,41.340053217188775,9.861969778119292e-05,kr/i/k,_/k/r/i/k/_/_/,_/c/r/e/a/k/_/_/
cream,23073,51.27333333,0.36197106521942796,151.8979920867949,0.00036236368624076076,kr/i/m,_/k/r/i/m/_/_/,_/c/r/e/a/m/_/_/
thorn,1413,3.14,0.12997663093346937,37.589892258425,8.967341659376725e-05,/T/O/rn,_/_/T/a/r/n/_/,_/t/h/o/r/n/_/_/
norm,10627,23.61555556,0.29307073293144975,103.08734160894828,0.0002459223364113612,n/O/rm,_/_/n/o/r/m/_/,_/_/n/o/r/m/_/_/
