wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O,sqrt_freq
fawn,1021,2.268888889,0.108362986,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/,31.95309062
scold,1908,4.24,0.151533558,sk/oU/ld,_/s/k/o/l/d/_/,_/s/c/o/l/d/_/_/,43.68065934
crotch,1237,2.748888889,0.1208977,kr/A/tS/,_/k/r/a/C/_/_/,_/c/r/o/t/c/h/_/,35.17101079
sooth,33,0.073333333,0.05,s/u/T/,_/_/s/u/T/_/_/,_/_/s/o/o/t/h/_/,5.744562647
crouch,4339,9.642222222,0.216353529,kr/AU/tS/,_/k/r/A/C/_/_/,_/c/r/o/u/c/h/_/,65.87108622
stern,2477,5.504444444,0.171309991,st/@/rn,_/s/t/^/r/n/_/,_/s/t/e/r/n/_/_/,49.76946855
copse,171,0.38,0.05,k/A/ps,_/_/k/a/p/s/_/,_/_/c/o/p/s/e/_/,13.07669683
wand,1199,2.664444444,0.118813351,w/A/nd,_/_/w/a/n/d/_/,_/_/w/a/n/d/_/_/,34.62657939
want,596426,1325.391111,0.657818655,w/A/nt,_/_/w/a/n/t/_/,_/_/w/a/n/t/_/_/,772.2862164
krait,25,0.055555556,0.05,kr/aI/t,_/k/r/Y/t/_/_/,_/k/r/a/i/t/_/_/,5
wrong,77748,172.7733333,0.471872447,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/,278.8332835
fir,1666,3.702222222,0.141626661,f/@/r,_/_/f/^/r/_/_/,_/_/f/i/r/_/_/_/,40.81666326
fit,46128,102.5066667,0.424471068,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/,214.7743001
fix,27563,61.25111111,0.377953108,f/I/ks,_/_/f/I/k/s/_/,_/_/f/i/x/_/_/_/,166.021083
fib,260,0.577777778,0.05,f/I/b,_/_/f/I/b/_/_/,_/_/f/i/b/_/_/_/,16.1245155
fig,13326,29.61333333,0.31302034,f/I/g,_/_/f/I/g/_/_/,_/_/f/i/g/_/_/_/,115.4382952
fie,60,0.133333333,0.05,f/aI/,_/_/f/Y/_/_/_/,_/_/f/i/e/_/_/_/,7.745966692
fin,1117,2.482222222,0.114146906,f/I/n,_/_/f/I/n/_/_/,_/_/f/i/n/_/_/_/,33.42154993
smirk,1835,4.077777778,0.148656464,sm/@/rk,_/s/m/^/r/k/_/,_/s/m/i/r/k/_/_/,42.83689998
friend,165786,368.4133333,0.540869447,fr/E/nd,_/f/r/E/n/d/_/,_/f/r/i/e/n/d/_/,407.1682699
pomp,400,0.888888889,0.058185347,p/A/mp,_/_/p/a/m/p/_/,_/_/p/o/m/p/_/_/,20
mouth,47034,104.52,0.426233538,m/AU/T/,_/_/m/A/T/_/_/,_/_/m/o/u/t/h/_/,216.8732349
tech,14081,31.29111111,0.317901806,t/E/k,_/_/t/E/k/_/_/,_/_/t/e/c/h/_/_/,118.6633895
scream,26722,59.38222222,0.375164402,skr/i/m,s/k/r/i/m/_/_/,s/c/r/e/a/m/_/_/,163.4686514
bliss,1927,4.282222222,0.152267785,bl/I/s,_/b/l/I/s/_/_/,_/b/l/i/s/s/_/_/,43.89760814
rich,41169,91.48666667,0.414172123,r/I/tS/,_/_/r/I/C/_/_/,_/_/r/i/c/h/_/_/,202.9014539
rice,20415,45.36666667,0.351001145,r/aI/s,_/_/r/Y/s/_/_/,_/_/r/i/c/e/_/_/,142.8810694
plate,28888,64.19555556,0.382181218,pl/eI/t,_/p/l/e/t/_/_/,_/p/l/a/t/e/_/_/,169.9647022
patch,12191,27.09111111,0.305153976,p/&/tS/,_/_/p/@/C/_/_/,_/_/p/a/t/c/h/_/,110.4128616
loth,89,0.197777778,0.05,l/oU/T/,_/_/l/o/T/_/_/,_/_/l/o/t/h/_/_/,9.433981132
ire,729,1.62,0.088118902,/aI/r,_/_/_/Y/r/_/_/,_/_/_/i/r/e/_/_/,27
veep,118,0.262222222,0.05,v/i/p,_/_/v/i/p/_/_/,_/_/v/e/e/p/_/_/,10.86278049
veer,2236,4.968888889,0.163448892,v/i/r,_/_/v/i/r/_/_/,_/_/v/e/e/r/_/_/,47.28636167
basque,1085,2.411111111,0.112259272,b/&/sk,_/_/b/@/s/k/_/,_/_/b/a/s/q/u/e/,32.93933818
blonde,4424,9.831111111,0.217963108,bl/A/nd,_/b/l/a/n/d/_/,_/b/l/o/n/d/e/_/,66.51315659
fro,573,1.273333333,0.075134271,fr/oU/,_/f/r/o/_/_/_/,_/f/r/o/_/_/_/_/,23.93741841
muck,1229,2.731111111,0.120462819,m/@/k,_/_/m/^/k/_/_/,_/_/m/u/c/k/_/_/,35.05709629
