wordform,sum_freq,norm_freq,log_freq,sqrt_freq,Moby_pron,Rep_P,Rep_O
mouse,10764,23.92,0.294195314,100,m/O/s,_/_/m/A/s/_/_/,_/_/m/o/u/s/e/_/
said,2304,5.12,0.165736212,48,s/E/d,_/_/s/E/d/_/_/,_/_/s/a/i/d/_/_/
dots,3085,6.855555556,0.188577008,55.54277631,d/A/ts,_/_/d/a/t/s/_/,_/_/d/o/t/s/_/_/
sew,3097,6.882222222,0.188887049,55.65069631,s/Ou/,_/_/s/o/_/_/_/,_/_/s/e/w/_/_/_/
dane,742,1.648888889,0.089122155,27.23967694,d/eI/n,_/_/d/e/n/_/_/,_/_/d/a/n/e/_/_/
dale,69,0.153333333,0.05,8.306623863,d/eI/l,_/_/d/e/l/_/_/,_/_/d/a/l/e/_/_/
mayor,28561,63.46888889,0.381155772,100,m/E/r,_/_/m/E/r/_/_/,_/_/m/a/y/e/r/_/
roust,186,0.413333333,0.05,13.6381817,r/u/st,_/_/r/A/s/t/_/,_/_/r/o/u/s/t/_/
a,10327445,22949.87778,0.918641309,100,/eI/,_/_/_/e/_/_/_/,_/_/_/a/_/_/_/_/
abuse,27156,60.34666667,0.376614131,100,/@/b/ju/z,_/_/_/^/b/j/z/,_/_/_/a/b/u/s/e/
ace,2930,6.511111111,0.184474906,54.12947441,/eI/s,_/_/_/e/s/_/_/,_/_/_/a/c/e/_/_/
ache,1945,4.322222222,0.152957974,44.10215414,/eI/k,_/_/_/e/k/_/_/,_/_/_/a/c/h/e/_/
act,74115,164.7,0.467520102,100,/&/kt,_/_/_/@/k/t/_/,_/_/_/a/c/t/_/_/
ad,12066,26.81333333,0.304244798,100,/&/d,_/_/_/@/d/_/_/,_/_/_/a/d/_/_/_/
add,58145,129.2111111,0.445469492,100,/&/d,_/_/_/@/d/_/_/,_/_/_/a/d/d/_/_/
adze,24,0.053333333,0.05,4.898979486,/&/dz,_/_/_/@/d/z/_/,_/_/_/a/d/z/e/_/
aft,1452,3.226666667,0.131872068,38.10511777,/&/ft,_/_/_/@/f/t/_/,_/_/_/a/f/t/_/_/
age,106190,235.9777778,0.500253364,100,/eI/dZ/,_/_/_/e/J/_/_/,_/_/_/a/g/e/_/_/
ah,11417,25.37111111,0.299373392,100,/A/,_/_/_/a/_/_/_/,_/_/_/a/h/_/_/_/
aid,29013,64.47333333,0.382570192,100,/eI/d,_/_/_/e/d/_/_/,_/_/_/a/i/d/_/_/
aide,5754,12.78666667,0.24003727,75.85512507,/eI/d,_/_/_/e/d/_/_/,_/_/_/a/i/d/e/_/
aids,21233,47.18444444,0.354519356,100,/eI/dz,_/_/_/e/d/z/_/,_/_/_/a/i/d/s/_/
ail,361,0.802222222,0.053888311,19,/eI/l,_/_/_/e/l/_/_/,_/_/_/a/i/l/_/_/
aim,10362,23.02666667,0.290855419,100,/eI/m,_/_/_/e/m/_/_/,_/_/_/a/i/m/_/_/
air,119460,265.4666667,0.510983333,100,/@/r,_/_/_/^/r/_/_/,_/_/_/a/i/r/_/_/
aisle,5407,12.01555556,0.234771521,73.53230583,/aI/l,_/_/_/Y/l/_/_/,_/_/_/a/i/s/l/e/
ale,1389,3.086666667,0.128790384,37.26929031,/eI/l,_/_/_/e/l/_/_/,_/_/_/a/l/e/_/_/
all,1227134,2726.964444,0.723790101,100,/O/l,_/_/_/a/l/_/_/,_/_/_/a/l/l/_/_/
alms,290,0.644444444,0.05,17.02938637,/A/mz,_/_/_/a/m/z/_/,_/_/_/a/l/m/s/_/
am,116989,259.9755556,0.509078332,100,/&/m,_/_/_/@/m/_/_/,_/_/_/a/m/_/_/_/
amp,358,0.795555556,0.053549257,18.92088793,/&/mp,_/_/_/@/m/p/_/,_/_/_/a/m/p/_/_/
an,1495549,3323.442222,0.741881508,100,/A/n,_/_/_/a/n/_/_/,_/_/_/a/n/_/_/_/
and,12368293,27485.09556,0.9351388,100,/&/nd,_/_/_/@/n/d/_/,_/_/_/a/n/d/_/_/
ankh,38,0.084444444,0.05,6.164414003,/&/N/k,_/_/_/@/G/k/_/,_/_/_/a/n/k/h/_/
ant,1860,4.133333333,0.149651991,43.12771731,/&/nt,_/_/_/@/n/t/_/,_/_/_/a/n/t/_/_/
ape,1690,3.755555556,0.142658492,41.10960958,/eI/p,_/_/_/e/p/_/_/,_/_/_/a/p/e/_/_/
apse,78,0.173333333,0.05,8.831760866,/&/ps,_/_/_/@/p/s/_/,_/_/_/a/p/s/e/_/
apt,2948,6.551111111,0.184960827,54.29548784,/&/pt,_/_/_/@/p/t/_/,_/_/_/a/p/t/_/_/
arc,3607,8.015555556,0.201177696,60.058305,/A/rk,_/_/_/a/r/k/_/,_/_/_/a/r/c/_/_/
arch,3373,7.495555556,0.195742546,58.07753438,/A/r/tS/,_/_/_/a/r/C/_/,_/_/_/a/r/c/h/_/
are,2104334,4676.297778,0.77311722,100,/A/r,_/_/_/a/r/_/_/,_/_/_/a/r/e/_/_/
ark,1139,2.531111111,0.115422425,33.74907406,/A/rk,_/_/_/a/r/k/_/,_/_/_/a/r/k/_/_/
arm,41801,92.89111111,0.41555096,100,/A/rm,_/_/_/a/r/m/_/,_/_/_/a/r/m/_/_/
armed,19605,43.56666667,0.347378712,100,/A/rmd,_/_/_/a/r/m/d/,_/_/_/a/r/m/e/d/
arse,187,0.415555556,0.05,13.67479433,/A/rs,_/_/_/a/r/s/_/,_/_/_/a/r/s/e/_/
art,94867,210.8155556,0.489983789,100,/A/rt,_/_/_/a/r/t/_/,_/_/_/a/r/t/_/_/
as,2747992,6106.648889,0.797528175,100,/&/z,_/_/_/@/z/_/_/,_/_/_/a/s/_/_/_/
ash,3367,7.482222222,0.195598847,58.02585631,/&/S/,_/_/_/@/S/_/_/,_/_/_/a/s/h/_/_/
ask,104982,233.2933333,0.499211089,100,/&/sk,_/_/_/@/s/k/_/,_/_/_/a/s/k/_/_/
ass,7336,16.30222222,0.260817217,85.65045242,/&/s,_/_/_/@/s/_/_/,_/_/_/a/s/s/_/_/
at,2275149,5055.886667,0.780256072,100,/@/t,_/_/_/@/t/_/_/,_/_/_/a/t/_/_/_/
ate,11514,25.58666667,0.300118169,100,/eI/t,_/_/_/e/t/_/_/,_/_/_/a/t/e/_/_/
aunt,14066,31.25777778,0.317807316,100,/&/nt,_/_/_/a/n/t/_/,_/_/_/a/u/n/t/_/
aw,1474,3.275555556,0.132924215,38.39270764,/O/,_/_/_/a/_/_/_/,_/_/_/a/w/_/_/_/
awe,3173,7.051111111,0.190826617,56.32938842,/O/,_/_/_/a/_/_/_/,_/_/_/a/w/e/_/_/
awed,805,1.788888889,0.093834062,28.37252192,/O/d,_/_/_/a/d/_/_/,_/_/_/a/w/e/d/_/
awl,94,0.208888889,0.05,9.695359715,/O/l,_/_/_/a/l/_/_/,_/_/_/a/w/l/_/_/
ax,1438,3.195555556,0.131196164,37.92097045,/&/ks,_/_/_/@/k/s/_/,_/_/_/a/x/_/_/_/
axe,1520,3.377777778,0.13508582,38.98717738,/&/ks,_/_/_/@/k/s/_/,_/_/_/a/x/e/_/_/
ay,481,1.068888889,0.066512853,21.9317122,/eI/,_/_/_/e/_/_/_/,_/_/_/a/y/_/_/_/
aye,2031,4.513333333,0.156185532,45.06661736,/eI/,_/_/_/e/_/_/_/,_/_/_/a/y/e/_/_/
babe,3260,7.244444444,0.192997578,57.09640969,b/eI/b,_/_/b/e/b/_/_/,_/_/b/a/b/e/_/_/
back,569485,1265.522222,0.653593092,100,b/&/k,_/_/b/@/k/_/_/,_/_/b/a/c/k/_/_/
backed,10033,22.29555556,0.288028281,100,b/&/kt,_/_/b/@/k/t/_/,_/_/b/a/c/k/e/d/
bad,99460,221.0222222,0.494289362,100,b/&/d,_/_/b/@/d/_/_/,_/_/b/a/d/_/_/_/
bade,316,0.702222222,0.05,17.77638883,b/&/d,_/_/b/e/d/_/_/,_/_/b/a/d/e/_/_/
badge,2530,5.622222222,0.172951771,50.29910536,b/&/dZ/,_/_/b/@/J/_/_/,_/_/b/a/d/g/e/_/
bag,31866,70.81333333,0.391026175,100,b/&/g,_/_/b/@/g/_/_/,_/_/b/a/g/_/_/_/
bah,496,1.102222222,0.067975133,22.27105745,b/A/,_/_/b/a/_/_/_/,_/_/b/a/h/_/_/_/
baht,129,0.286666667,0.05,11.35781669,b/A/t,_/_/b/a/t/_/_/,_/_/b/a/h/t/_/_/
bail,3442,7.648888889,0.197379057,58.66856058,b/eI/l,_/_/b/e/l/_/_/,_/_/b/a/i/l/_/_/
bairn,26,0.057777778,0.05,5.099019514,b/@/rn,_/_/b/E/r/n/_/,_/_/b/a/i/r/n/_/
bait,3786,8.413333333,0.20512775,61.53048025,b/eI/t,_/_/b/e/t/_/_/,_/_/b/a/i/t/_/_/
baize,63,0.14,0.05,7.937253933,b/eI/z,_/_/b/e/z/_/_/,_/_/b/a/i/z/e/_/
bake,8848,19.66222222,0.277053784,94.06380813,b/eI/k,_/_/b/e/k/_/_/,_/_/b/a/k/e/_/_/
bald,3909,8.686666667,0.207746433,62.52199613,b/O/ld,_/_/b/a/l/d/_/,_/_/b/a/l/d/_/_/
bale,858,1.906666667,0.097618343,29.29163703,b/eI/l,_/_/b/e/l/_/_/,_/_/b/a/l/e/_/_/
balk,452,1.004444444,0.063617738,21.26029163,b/O/k,_/_/b/a/k/_/_/,_/_/b/a/l/k/_/_/
ball,40464,89.92,0.412609097,100,b/O/l,_/_/b/a/l/_/_/,_/_/b/a/l/l/_/_/
balm,884,1.964444444,0.099419073,29.73213749,b/A/m,_/_/b/a/m/_/_/,_/_/b/a/l/m/_/_/
ban,11137,24.74888889,0.297188873,100,b/A/n,_/_/b/a/n/_/_/,_/_/b/a/n/_/_/_/
banc,100,0.222222222,0.05,10,b/&/N/k,_/_/b/@/G/k/_/,_/_/b/a/n/c/_/_/
band,28535,63.41111111,0.381073742,100,b/&/nd,_/_/b/@/n/d/_/,_/_/b/a/n/d/_/_/
