wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,bcLambda_0.0,bcLambda_0.1,bcLambda_0.2,bcLambda_0.3,bcLambda_0.4,bcLambda_0.5,bcLambda_0.6,bcLambda_0.7,bcLambda_0.8,bcLambda_0.9,bcLambda_1.0,Moby_pron,Rep_P,Rep_O
"""false""",14992,33.31555556,0.323464896,122.4418229,0.000309619,0.000310605,0.000328081,0.000340224,0.000340088,0.000322321,0.000286302,0.000236997,0.000182776,0.000131828,8.95E-05,5.76E-05,f/O/ls,_/_/f/a/l/s/_/,_/_/f/a/l/s/e/_/
"""nan""",1276,2.835555556,0.12298864,35.7211422,9.03E-05,0.000231016,0.000212094,0.000185197,0.000151885,0.000115895,8.19E-05,5.35E-05,3.24E-05,1.83E-05,9.73E-06,4.90E-06,n/&/n,_/_/n/a/n/_/_/,_/_/n/a/n/_/_/_/
"""true""",90453,201.0066667,0.485645869,300.7540523,0.000760519,0.000368664,0.00043266,0.000512583,0.000597507,0.000668879,0.000706678,0.000698197,0.000643701,0.000555407,0.00045123,0.000347808,tr/u/,_/t/r/u/_/_/_/,_/t/r/u/e/_/_/_/
a,10327445,22949.87778,0.918641309,1000,0.002528707,0.000521708,0.000817932,0.001414123,0.002538477,0.004489932,0.007573867,0.011993739,0.017747002,0.024587418,0.032079377,0.039711344,/eI/,_/_/_/e/_/_/_/,_/_/_/a/_/_/_/_/
abuse,27156,60.34666667,0.376614131,164.7907764,0.000416708,0.000329795,0.000360591,0.000390495,0.000410364,0.000410668,0.000386141,0.000338809,0.00027714,0.000212075,0.00015278,0.000104417,/@/b/ju/z,_/_/_/^/b/j/z/,_/_/_/a/b/u/s/e/
ace,2930,6.511111111,0.184474906,54.12947441,0.000136878,0.000257869,0.000248079,0.000229229,0.000200604,0.000164387,0.000125254,8.85E-05,5.81E-05,3.57E-05,2.06E-05,1.13E-05,/eI/s,_/_/_/e/s/_/_/,_/_/_/a/c/e/_/_/
ache,1945,4.322222222,0.152957974,44.10215414,0.000111521,0.000244633,0.000229968,0.000206611,0.000175072,0.000138473,0.000101614,6.91E-05,4.36E-05,2.57E-05,1.42E-05,7.48E-06,/eI/k,_/_/_/e/k/_/_/,_/_/_/a/c/h/e/_/
act,74115,164.7,0.467520102,272.2407023,0.000688417,0.000362228,0.000420121,0.000490287,0.000561676,0.000617108,0.000639457,0.000619454,0.000559887,0.000473576,0.000377164,0.000284985,/&/kt,_/_/_/@/k/t/_/,_/_/_/a/c/t/_/_/
ad,12066,26.81333333,0.304244798,109.8453458,0.000277767,0.000303591,0.000316672,0.000323291,0.000317372,0.000294923,0.000256606,0.000207958,0.000156973,0.000110799,7.36E-05,4.64E-05,/&/d,_/_/_/@/d/_/_/,_/_/_/a/d/_/_/_/
add,58145,129.2111111,0.445469492,241.1327435,0.000609754,0.000354389,0.00040518,0.000464299,0.000520824,0.00055937,0.000566119,0.000535416,0.000472382,0.000389998,0.00030316,0.000223577,/&/d,_/_/_/@/d/_/_/,_/_/_/a/d/d/_/_/
adze,24,0.053333333,0.05,4.898979486,1.24E-05,0.000102661,7.60E-05,5.17E-05,3.21E-05,1.80E-05,9.19E-06,4.25E-06,1.80E-06,7.05E-07,2.57E-07,8.84E-08,/&/dz,_/_/_/@/d/z/_/,_/_/_/a/d/z/e/_/
aft,1452,3.226666667,0.131872068,38.10511777,9.64E-05,0.00023519,0.000217493,0.00019157,0.000158683,0.000122416,8.75E-05,5.78E-05,3.55E-05,2.03E-05,1.09E-05,5.58E-06,/&/ft,_/_/_/@/f/t/_/,_/_/_/a/f/t/_/_/
age,106190,235.9777778,0.500253364,325.8680715,0.000824025,0.000373845,0.000442939,0.000531191,0.000627955,0.000713667,0.000765885,0.000768806,0.000720215,0.000631459,0.000521308,0.000408321,/eI/dZ/,_/_/_/e/J/_/_/,_/_/_/a/g/e/_/_/
ah,11417,25.37111111,0.299373392,106.8503627,0.000270193,0.000301805,0.000313807,0.000319095,0.00031182,0.000288318,0.000249545,0.000201149,0.000151006,0.000106002,7.00E-05,4.39E-05,/A/,_/_/_/a/_/_/_/,_/_/_/a/h/_/_/_/
aid,29013,64.47333333,0.382570192,170.3320287,0.00043072,0.000331932,0.000364331,0.000396471,0.000418992,0.000421868,0.000399205,0.000352556,0.000290284,0.000223603,0.000162153,0.000111558,/eI/d,_/_/_/e/d/_/_/,_/_/_/a/i/d/_/_/
aide,5754,12.78666667,0.24003727,75.85512507,0.000191815,0.00027967,0.000279577,0.000270771,0.000250141,0.000217513,0.000176473,0.000133092,9.34E-05,6.12E-05,3.78E-05,2.21E-05,/eI/d,_/_/_/e/d/_/_/,_/_/_/a/i/d/e/_/
aids,21233,47.18444444,0.354519356,145.7154762,0.000368472,0.000321847,0.000346892,0.000368948,0.000379733,0.000371517,0.00034117,0.000292207,0.000233258,0.000174172,0.00012243,8.16E-05,/eI/dz,_/_/_/e/d/z/_/,_/_/_/a/i/d/s/_/
ail,361,0.802222222,0.053888311,19,4.80E-05,0.00019023,0.00016285,0.000130872,9.76E-05,6.72E-05,4.24E-05,2.47E-05,1.33E-05,6.63E-06,3.11E-06,1.38E-06,/eI/l,_/_/_/e/l/_/_/,_/_/_/a/i/l/_/_/
