wordform,pron,freq,log_freq,sqrt_freq,Rep_P,Rep_O
tain,ten,H,0.05,0.05,_/_/t/e/n/_/_/,_/_/t/a/i/n/_/_/
goach,goC,H,0.05,0.05,_/_/g/o/C/_/_/,_/_/g/o/a/c/h/_/
joal,Jol,H,0.05,0.05,_/_/J/o/l/_/_/,_/_/j/o/a/l/_/_/
sug,s^g,H,0.05,0.05,_/_/s/^/g/_/_/,_/_/s/u/g/_/_/_/
vess,vEs,H,0.05,0.05,_/_/v/E/s/_/_/,_/_/v/e/s/s/_/_/
fip,fIp,H,0.05,0.05,_/_/f/I/p/_/_/,_/_/f/i/p/_/_/_/
chail,Cel,H,0.05,0.05,_/_/C/e/l/_/_/,_/c/h/a/i/l/_/_/
pog,pag,H,0.05,0.05,_/_/p/a/g/_/_/,_/_/p/o/g/_/_/_/
juck,J^k,H,0.05,0.05,_/_/J/^/k/_/_/,_/_/j/u/c/k/_/_/
lef,lEf,H,0.05,0.05,_/_/l/E/f/_/_/,_/_/l/e/f/_/_/_/
foud,fAd,H,0.05,0.05,_/_/f/A/d/_/_/,_/_/f/o/u/d/_/_/
chob,Cab,H,0.05,0.05,_/_/C/a/b/_/_/,_/c/h/o/b/_/_/_/
vag,v@g,H,0.05,0.05,_/_/v/@/g/_/_/,_/_/v/a/g/_/_/_/
peef,pif,H,0.05,0.05,_/_/p/i/f/_/_/,_/_/p/e/e/f/_/_/
foop,fup,H,0.05,0.05,_/_/f/u/p/_/_/,_/_/f/o/o/p/_/_/
hain,hen,H,0.05,0.05,_/_/h/e/n/_/_/,_/_/h/a/i/n/_/_/
jub,J^b,H,0.05,0.05,_/_/J/^/b/_/_/,_/_/j/u/b/_/_/_/
veed,vid,H,0.05,0.05,_/_/v/i/d/_/_/,_/_/v/e/e/d/_/_/
cheed,Cid,H,0.05,0.05,_/_/C/i/d/_/_/,_/c/h/e/e/d/_/_/
lum,l^m,H,0.05,0.05,_/_/l/^/m/_/_/,_/_/l/u/m/_/_/_/
meep,mip,H,0.05,0.05,_/_/m/i/p/_/_/,_/_/m/e/e/p/_/_/
fesh,fES,H,0.05,0.05,_/_/f/E/S/_/_/,_/_/f/e/s/h/_/_/
losh,laS,H,0.05,0.05,_/_/l/a/S/_/_/,_/_/l/o/s/h/_/_/
yoal,jol,H,0.05,0.05,_/_/j/o/l/_/_/,_/_/y/o/a/l/_/_/
goan,gon,L,0.05,0.05,_/_/g/o/n/_/_/,_/_/g/o/a/n/_/_/
taich,teC,L,0.05,0.05,_/_/t/e/C/_/_/,_/_/t/a/i/c/h/_/
soag,sog,L,0.05,0.05,_/_/s/o/g/_/_/,_/_/s/o/a/g/_/_/
jul,j^l,L,0.05,0.05,_/_/j/^/l/_/_/,_/_/j/u/l/_/_/_/
fiss,fIs,L,0.05,0.05,_/_/f/I/s/_/_/,_/_/f/i/s/s/_/_/
vep,vEp,L,0.05,0.05,_/_/v/E/p/_/_/,_/_/v/e/p/_/_/_/
paig,peg,L,0.05,0.05,_/_/p/e/g/_/_/,_/_/p/a/i/g/_/_/
chol,Cal,L,0.05,0.05,_/_/C/a/l/_/_/,_/c/h/o/l/_/_/_/
leck,lEk,L,0.05,0.05,_/_/l/E/k/_/_/,_/_/l/e/c/k/_/_/
juf,J^f,L,0.05,0.05,_/_/J/^/f/_/_/,_/_/j/u/f/_/_/_/
choub,CAb,L,0.05,0.05,_/_/C/A/b/_/_/,_/c/h/o/u/b/_/_/
fod,fad,L,0.05,0.05,_/_/f/a/d/_/_/,_/_/f/o/d/_/_/_/
paf,p@f,L,0.05,0.05,_/_/p/@/f/_/_/,_/_/p/a/f/_/_/_/
veeg,vig,L,0.05,0.05,_/_/v/i/g/_/_/,_/_/v/e/e/g/_/_/
haip,hep,L,0.05,0.05,_/_/h/e/p/_/_/,_/_/h/a/i/p/_/_/
foon,fun,L,0.05,0.05,_/_/f/u/n/_/_/,_/_/f/o/o/n/_/_/
vud,v^d,L,0.05,0.05,_/_/v/^/d/_/_/,_/_/v/u/d/_/_/_/
jeeb,Jib,L,0.05,0.05,_/_/J/i/b/_/_/,_/_/j/e/e/b/_/_/
leem,lim,L,0.05,0.05,_/_/l/i/m/_/_/,_/_/l/e/e/m/_/_/
chud,C^d,L,0.05,0.05,_/_/C/^/d/_/_/,_/c/h/u/d/_/_/_/
fep,fEp,L,0.05,0.05,_/_/f/E/p/_/_/,_/_/f/e/p/_/_/_/
meesh,miS,L,0.05,0.05,_/_/m/i/S/_/_/,_/_/m/e/e/s/h/_/
yol,jal,L,0.05,0.05,_/_/j/a/l/_/_/,_/_/y/o/l/_/_/_/
loash,loS,L,0.05,0.05,_/_/l/o/S/_/_/,_/_/l/o/a/s/h/_/
