fawn,"['nn', 513.0, 'vv', 345.0, 'jj', 163.0]"
nunnery,"['nn', 135.0]"
chthonic,"['jj', 46.0]"
clotted,"['jj', 118.0]"
hanging,"['nn', 17988.0]"
spidery,"['jj', 203.0]"
scold,"['vv', 1873.0, 'nn', 35.0]"
caned,"['jj', 20.0]"
tening,"['nn', 17.0]"
crossbar,"['nn', 198.0]"
slothful,"['jj', 68.0]"
pigment,"['nn', 2080.0]"
rawhide,"['nn', 214.0]"
fractal,"['jj', 398.0, 'nn', 106.0]"
wooded,"['jj', 1673.0]"
grueling,"['jj', 1458.0]"
broiler,"['nn', 821.0]"
wooden,"['jj', 15662.0]"
broiled,"['jj', 210.0]"
crotch,"['nn', 1237.0]"
sooty,"['jj', 356.0]"
scraper,"['nn', 342.0]"
sooth,"['nn', 33.0]"
scraped,"['jj', 111.0]"
prosody,"['nn', 100.0]"
dormancy,"['nn', 156.0]"
tensely,"['rr', 177.0]"
deferred,"['jj', 753.0]"
cooking,"['nn', 17569.0]"
salsify,"['nn', 51.0]"
numeral,"['nn', 468.0, 'jj', 28.0]"
databank,"['nn', 129.0]"
succumb,"['vv', 2543.0]"
widget,"['nn', 310.0]"
crouch,"['vv', 3686.0, 'nn', 653.0]"
chine,"['nn', 103.0]"
ching,"['nn', 47.0]"
china,"['nn', 3986.0]"
chino,"['nn', 297.0]"
wiseguy,"['nn', 167.0]"
doldrums,"['nn', 369.0]"
kumbaya,"['nn', 32.0]"
oxymoron,"['nn', 418.0]"
spotty,"['jj', 627.0]"
climber,"['nn', 2391.0]"
golden,"['jj', 23368.0]"
fretwork,"['nn', 51.0]"
lengthen,"['vv', 1449.0]"
orangish,"['jj', 25.0]"
stern,"['jj', 2477.0]"
dna,"['nn', 13800.0]"
catchy,"['jj', 661.0]"
cannibal,"['nn', 290.0]"
music,"['nn', 118008.0]"
dusting,"['nn', 376.0]"
voyageur,"['nn', 141.0]"
laicism,"['nn', 22.0]"
heatless,"['jj', 18.0]"
skinfold,"['nn', 63.0]"
skewness,"['nn', 112.0]"
crooner,"['nn', 281.0]"
yahoo,"['nn', 81.0]"
faceted,"['jj', 153.0]"
serially,"['rr', 91.0]"
primeval,"['jj', 478.0]"
unpack,"['vv', 1421.0]"
copse,"['nn', 171.0]"
enflamed,"['jj', 27.0]"
morally,"['rr', 3612.0]"
locked,"['jj', 1686.0]"
wineskin,"['nn', 53.0]"
locker,"['nn', 5756.0]"
locket,"['nn', 339.0]"
busyness,"['nn', 103.0]"
wand,"['nn', 1199.0]"
wane,"['vv', 1458.0, 'nn', 314.0]"
unjust,"['jj', 1484.0]"
virtu,"['nn', 35.0]"
fluorite,"['nn', 23.0]"
titanium,"['nn', 1443.0]"
want,"['vv', 595064.0, 'nn', 1362.0]"
rayon,"['nn', 232.0]"
pinto,"['nn', 490.0]"
cookery,"['nn', 236.0]"
absolute,"['jj', 10750.0, 'nn', 232.0]"
travel,"['nn', 21762.0, 'vv', 43908.0]"
copious,"['jj', 559.0]"
cutback,"['nn', 1546.0]"
krait,"['nn', 25.0]"
playback,"['nn', 515.0]"
cadence,"['nn', 1161.0]"
goober,"['nn', 92.0]"
outfight,"['vv', 23.0]"
mouflon,"['nn', 17.0]"
wrong,"['jj', 67509.0, 'rr', 8148.0, 'nn', 1424.0, 'vv', 667.0]"
eugenics,"['nn', 412.0]"
caisson,"['nn', 145.0]"
jowers,"['nn', 24.0]"
tulip,"['nn', 1313.0]"
romper,"['nn', 46.0]"
snugly,"['rr', 537.0]"
stoicism,"['nn', 230.0]"
aargh,"['uh', 21.0]"
fir,"['nn', 1666.0]"
sonority,"['nn', 82.0]"
wickedly,"['rr', 320.0]"
ligand,"['nn', 140.0]"
fit,"['vv', 32154.0, 'jj', 10263.0, 'nn', 3711.0]"
lifeline,"['nn', 919.0]"
fix,"['vv', 23250.0, 'nn', 4313.0]"
secede,"['vv', 592.0]"
fib,"['nn', 138.0, 'vv', 122.0]"
fig,"['nn', 13326.0]"
fie,"['uh', 60.0]"
fin,"['nn', 1088.0, 'vv', 29.0]"
corridor,"['nn', 9824.0]"
hypoxic,"['jj', 93.0]"
hypoxia,"['nn', 168.0]"
preemie,"['nn', 117.0]"
sixteen,"['mc', 5137.0]"
saddened,"['jj', 93.0]"
defecate,"['vv', 179.0]"
arrow,"['nn', 6187.0, 'vv', 62.0]"
burial,"['nn', 3859.0]"
canoeist,"['nn', 126.0]"
allay,"['vv', 561.0]"
golem,"['nn', 410.0]"
deerskin,"['nn', 147.0]"
smirk,"['nn', 768.0, 'vv', 1067.0]"
mason,"['nn', 859.0]"
unclog,"['vv', 93.0]"
branch,"['nn', 22595.0, 'vv', 1232.0]"
adapt,"['vv', 12957.0]"
outburst,"['nn', 1785.0]"
magickal,"['jj', 23.0]"
timorese,"['jj', 30.0]"
estimate,"['nn', 16034.0, 'vv', 23796.0]"
gameplay,"['nn', 52.0]"
chlorine,"['nn', 1888.0]"
connive,"['vv', 106.0]"
dentures,"['nn', 204.0]"
loudness,"['nn', 243.0]"
chevron,"['nn', 68.0]"
feldspar,"['nn', 102.0]"
trochaic,"['jj', 68.0]"
purloin,"['vv', 34.0]"
service,"['nn', 169682.0, 'vv', 3162.0]"
oldy,"['nn', 328.0]"
outrace,"['vv', 31.0]"
needed,"['jj', 463.0]"
master,"['nn', 31217.0, 'vv', 5167.0]"
critter,"['nn', 1024.0]"
hiya,"['uh', 166.0]"
genesis,"['nn', 1313.0]"
enthrall,"['vv', 661.0]"
tidepool,"['nn', 23.0]"
maglev,"['jj', 113.0, 'nn', 57.0]"
idly,"['rr', 1004.0]"
idle,"['jj', 2399.0, 'vv', 1400.0]"
sheen,"['nn', 1167.0]"
confrere,"['nn', 58.0]"
feeling,"['nn', 60213.0]"
dozer,"['nn', 88.0]"
codeine,"['nn', 191.0]"
spectrum,"['nn', 8390.0]"
spiff,"['vv', 65.0]"
peacoat,"['nn', 44.0]"
brawny,"['jj', 333.0]"
arousal,"['nn', 1990.0]"
pomp,"['nn', 400.0]"
urinate,"['vv', 773.0]"
dozen,"['mc', 34389.0]"
mostly,"['rr', 32868.0]"
hymen,"['nn', 99.0]"
uncouth,"['jj', 144.0]"
toothed,"['jj', 145.0]"
britches,"['nn', 189.0]"
affaire,"['nn', 26.0]"
vexing,"['jj', 438.0]"
encomium,"['nn', 80.0]"
metrics,"['nn', 547.0]"
simplify,"['vv', 2278.0]"
mouth,"['nn', 45975.0, 'vv', 1059.0]"
fluster,"['vv', 447.0]"
goshawk,"['nn', 38.0]"
expound,"['vv', 615.0]"
singer,"['nn', 13346.0]"
baldy,"['jj', 43.0]"
nettle,"['nn', 663.0]"
cumbia,"['nn', 74.0]"
tech,"['nn', 14081.0]"
scream,"['vv', 21221.0, 'nn', 5501.0]"
saying,"['nn', 115414.0]"
dicker,"['nn', 61.0, 'vv', 18.0]"
minimall,"['nn', 16.0]"
padded,"['jj', 1522.0]"
fennel,"['nn', 1602.0]"
ulcer,"['nn', 1695.0]"
loiterer,"['nn', 34.0]"
cheaply,"['rr', 975.0]"
apace,"['rr', 224.0]"
kinase,"['nn', 111.0]"
lube,"['nn', 279.0, 'vv', 156.0]"
bliss,"['nn', 1927.0]"
rich,"['jj', 41169.0]"
rice,"['nn', 20415.0]"
puckery,"['jj', 31.0]"
plate,"['nn', 28694.0, 'vv', 194.0]"
jaguar,"['nn', 2516.0]"
rectal,"['jj', 385.0]"
nicely,"['rr', 4053.0]"
boarder,"['nn', 580.0]"
pretzel,"['nn', 794.0]"
patch,"['nn', 10636.0, 'vv', 1555.0]"
rowhouse,"['nn', 82.0]"
boarded,"['jj', 78.0]"
heirloom,"['nn', 1285.0]"
pinon,"['nn', 106.0]"
etic,"['jj', 60.0]"
pinot,"['nn', 389.0]"
gonad,"['nn', 127.0]"
trivet,"['nn', 24.0]"
sucrose,"['nn', 126.0]"
deadpan,"['nn', 536.0, 'vv', 94.0]"
drover,"['nn', 50.0]"
loth,"['jj', 89.0]"
ire,"['nn', 729.0]"
rundown,"['nn', 582.0, 'jj', 487.0]"
extend,"['vv', 30138.0]"
nature,"['nn', 65443.0]"
basswood,"['nn', 72.0]"
pharisee,"['nn', 128.0]"
extent,"['nn', 24204.0]"
gobble,"['vv', 1529.0, 'nn', 147.0]"
trapline,"['nn', 33.0]"
flathead,"['nn', 151.0]"
tyranny,"['nn', 1857.0]"
airflow,"['nn', 570.0]"
veep,"['nn', 118.0]"
veer,"['vv', 2236.0]"
heating,"['nn', 5037.0]"
incense,"['nn', 1254.0, 'vv', 580.0]"
finfish,"['nn', 115.0]"
libyan,"['jj', 1181.0, 'nn', 312.0]"
