t/AU/n,['town']
fr/i/,"['freelance', 'free']"
w/A/mp,['whomp']
sl/AU/tS/,['slouch']
fl/oU/n,['flown']
g/&/mp,['gamp']
fl/oU/t,['float']
t/AU/z,['touse']
fl/oU/r,['floor']
t/AU/t,['tout']
g/&/mb,['gamb']
t/AU/s,['taos']
sl/eI/d,['slade']
m/O/s,['moss']
w/&/ft,['waft']
l/I/mp,['limp']
sl/eI/t,['slate']
m/O/m,['maugham']
m/O/l,['mall']
l/I/mf,['lymph']
l/I/md,['limbed']
b/AU/,"['bough', 'bow']"
m/O/d,['maud']
m/E/nt,['meant']
/dZ/E/b,['jebb']
w/U/l,['wool']
br/O/d,['broad']
m/E/ns,['mense']
z/u/,['zoo']
w/U/d,"['wood', 'would', 'wud']"
p/eI/nt,['paint']
/dZ/E/m,['gem']
br/O/n,['brawn']
m/E/nd,['mend']
/dZ/E/r,['ger']
p/&/S/,['pash']
br/O/t,"['brought', 'brod']"
/dZ/E/t,['jet']
p/eI/nd,"['pained', 'paned']"
str/&/pt,['strapped']
skw/I/n/tS/,['squinch']
br/O/Z,['broz']
m/O/N,['mont']
r/eI/nz,"['rains', 'reins']"
gr/AU/tS/,['grouch']
/tS/O/nt,['chaunt']
f/&/N/d,['fanged']
t/S/A/k,['choc']
kr/O/ft,['croft']
p/Oi/zd,['poised']
/S/oU/d,['shoad']
/S/oU/n,"['shown', 'shone']"
/S/oU/l,"['shole', 'shoal']"
b/U/tS/,['butch']
m/aI/t,"['mite', 'might']"
/S/oU/v,['shove']
/S/oU/t,"['shote', 'shoat']"
/S/oU/s,['chausses']
/S/oU/r,['shore']
/tS/oU/z,['chose']
kl/AU/dz,['clouds']
w/oU/,"['wo', 'woe', 'whoa']"
d/j/AU/s,['dyaus']
sk/E/rm,['scherm']
sp/j/u/,"['spew', 'spue']"
sl/eI/k,['slake']
gl/u/m,"['gloom', 'glume']"
/A/r/tS/t,['arched']
sw/@/rv,['swerve']
str/oU/,['strow']
sl/eI/n,['slain']
sw/@/rl,['swirl']
b/&/dZ/,['badge']
/j/eI/,['yea']
b/i/tS/,"['beech', 'beach']"
n/E/s,['ness']
/A/A/,['aa']
n/E/f,['nef']
kr/A/N/k,['cronk']
n/E/b,['neb']
n/E/l,"['nell', 'knell']"
n/E/k,['neck']
h/&/st,['hast']
r/&/N/,['rang']
/D/AU/,['thou']
fl/E/kst,['flexed']
fl/I/nt,['flint']
/S/ArlmAr/i/,['charles_marie']
bl/I/N/k,['blink']
/dZ/E/f,['jeff']
skw/I/ft,['squiffed']
sl/aI/,['sly']
st/I/lb,['stilb']
kl/eI/v,['clave']
z/eI/n,['zane']
kl/eI/m,['claim']
st/I/lt,['stilt']
kl/eI/d,['clade']
b/U/nd,['bund']
d/oU/dZ/,['doge']
s/@/rt,"['cert', 'surt']"
s/@/rv,['serve']
br/O/l,['brawl']
m/j/u/,"['meu', 'mu', 'mew']"
h/A/rst,['harst']
s/@/rk,['cirque']
s/@/rd,['surd']
s/@/rf,"['serf', 'surf']"
pl/I/m,['plim']
s/@/rb,['serb']
/dZ/E/s,"['jess', 'jesse']"
w/i/r,"[""we're"", 'weir']"
w/i/p,['weep']
w/i/v,"[""we've"", 'weave']"
bl/E/st,['blest']
w/i/k,"['week', 'weak']"
kl/&/sp,['clasp']
w/i/n,"['wean', 'wheen', 'ween']"
w/i/l,"['wheel', 'huile', 'weal', 'wheal', ""we'll""]"
s/i/n/j/Ak,['signac']
bl/&/N/k,['blank']
w/i/d,"[""we'd"", 'weed']"
s/I/mp,['simp']
s/I/mz,"['simms', 'sims']"
k/&/vz,['calves']
/A/ntrakt,"[""entr'acte""]"
b/O/r/S/t,['borscht']
k/I/tS/,['kitsch']
b/&/tS/,"['batch', 'bach']"
/dZ/eI/,"['jeh', 'j', 'jay']"
/dZ/A/g,['jog']
m/I/ft,['miffed']
p/i/z,"['pease', 'pes']"
p/i/t,"['pete', 'peat', 'piet']"
p/i/v,['peeve']
p/i/p,['peep']
p/i/r,"['peer', 'pire', 'pier']"
p/i/s,"['peace', 'piece']"
p/i/l,"['pele', 'peal', 'peale', 'peel', 'peele']"
p/i/n,"['pean', 'pein', 'peen', 'pien']"
p/i/k,"['peek', 'peak', 'pique']"
p/i/g,['peag']
p/A/rt/S/t,['parched']
s/i/i/N/,['seeing']
kl/I/mt,['klimt']
sn/O/rt,['snort']
dv/i/nsk,['dvinsk']
br/&/tS/,['brach']
b/O/nAr,['bonnard']
rn,['reiterate']
Alb/i/,['albi']
l/@/st,['lust']
h/eI/,"['hay', 'hae', 'hey']"
/S/oU/,['show']
sp/A/r/dZ/,['sparge']
b/@/n/tS/,"['bunche', 'bunch']"
r/oU/k,"['roque', 'roke', 'roak']"
/T/@/rst,['thirst']
r/oU/n,['roan']
kW/I/ts,['quits']
r/oU/l,"['role', 'roll']"
r/oU/m,"['rome', 'rom', 'roam']"
r/oU/b,['robe']
r/oU/g,['rogue']
r/oU/d,"['rode', 'road']"
r/oU/z,['rose']
b/E/l/tS/,['belch']
l/E/t/S/,['lech']
r/oU/r,['roar']
r/oU/p,['rope']
r/oU/v,['rove']
r/oU/t,"['rote', 'wrote']"
p/oU/r,"['pore', 'pour']"
m/eI/nz,['mains']
m/eI/nd,['maned']
w/E/n/tS/,['wench']
h/O/ns,['haunce']
h/O/nt,['haunt']
w/I/lks,['wilkes']
h/A/rnZ,['harns']
f/I/dZ/,['fidge']
d/u/S/,['douche']
z/&/ks,['zax']
h/&/gd,['hagged']
dr/@/dZ/,['drudge']
gArn/i/,['garni']
k/@/pt,['cupped']
n/oU/rk,['nork']
s/aI/D/,['scythe']
mAl/E/rb,['malherbe']
swonzdoun,"[""swan's-down""]"
fr/oU/j/nd,['freund']
sk/A/t/S/,['scotch']
m/&/sk,['mask']
br/&/n,['bran']
d/&/S/,['dash']
str/&/d,['strad']
kl/Oi/,['cloy']
str/&/p,['strap']
str/&/s,['strass']
h/&/ft,['haft']
duz/@/nt,"[""doesn't""]"
pl/aI/,['ply']
bl/E/b,['bleb']
bl/E/d,['bled']
f/A/nd/ju/,['fondue']
/A/dz,['odds']
bl/E/s,['bless']
st/eI/,"['stey', 'stay']"
g/@/r/dZ/,['gurge']
h/oU/lt,['holt']
/T/&/nt,['thant']
h/oU/lp,['holp']
kl/u/,"['clou', 'clew', 'clue']"
h/oU/ld,['hold']
kr/@/mp,['crump']
h/oU/lm,['holm']
/S/r/@/N/k,['shrunk']
/Z/Yl,['jules']
kr/@/mz,['crumbs']
fl/&/k,"['flack', 'flach', 'flak']"
lAplAs,['laplace']
fl/&/n,['flan']
fl/&/m,['flam']
fl/&/b,['flab']
bAl/O/Ndese,"[""ballons_d'essai""]"
fl/&/g,"['flagg', 'flag']"
b/oU/T/,['both']
fl/&/p,['flap']
fl/&/t,['flat']
br/&/sk,['brasque']
h/I/l/S/,['hilch']
h/&/N/k,['hank']
/eI/t/T/,['eighth']
br/&/n/tS/,['branch']
/dZ/E/st,"['gest', 'jest', 'geste']"
v/A/lt,['volte']
v/A/ls,['waals']
/O/b/Z/edAr,"[""objets_d'art"", ""objet_d'art""]"
l/AU/,['lao']
f/AU/nt,['fount']
dr/i/,['dree']
f/AU/nd,['found']
/S/t/A/ns,['stans']
sl/I/N/k,['slink']
gl/u/mz,['glooms']
gr/&/nd,['grand']
/j/&/N/k,['yank']
gr/&/nt,['grant']
f/I/l/tS/,['filch']
fl/E/ks,['flex']
m/@/st,['must']
m/I/nsk,['minsk']
sp/i/l,"['speil', 'spiel']"
w/I/n/tS/,['winch']
l/E/ft,['left']
p/Oi/nd,['poind']
p/Oi/nt,['point']
Al/&/N,['alain']
gr/A/f,['graf']
gr/A/g,['grog']
gr/A/k,['grok']
b/U/rgz,['bourgs']
gr/A/s,['grasse']
gr/A/t,['grot']
gr/eI/vz,['graves']
skw/A/S/,['squash']
h/E/k,['heck']
h/E/l,"['hel', 'hell']"
h/E/m,['hem']
h/E/n,['hen']
h/E/d,['head']
/dZ/@/dZ/,['judge']
h/E/p,['hep']
h/E/r,['herr']
h/E/s,"['hess', 'heth']"
h/E/t,"['het', 'cheth']"
kr/E/S/,['creche']
d/u/mz,['dooms']
fr/O/t,['fraught']
f/A/S/,['foch']
fr/O/d,['fraud']
f/I/n/tS/,['finch']
/S/A/rd,['shard']
/j/O/d,['yaud']
/S/A/rk,['shark']
/j/O/n,"['yonne', 'yawn']"
/j/O/l,['yawl']
v/i/ktWAr,['victoire']
/S/A/rp,['sharp']
/j/O/p,['yawp']
/j/O/z,['yaws']
st/I/nt,['stint']
h/I/pt,['hipped']
br/O/,['braw']
n/I/mf,['nymph']
/Z/O/r/Z/,['georges']
r/@/S/,['rush']
w/A/S/,['wash']
/j/O/,['yaw']
k/&/lks,['calx']
/j/A/rn,['yarn']
/j/A/rl,['jarl']
d/i/lz,['diels']
g/A/r/T/,['garth']
w/I/S/t,['whisht']
k/j/A/t,['kyat']
/S/t/oU/s,['stoss']
st/U/r,['stour']
pl/u/m,['plume']
st/U/d,['stood']
m/A/rld,['marled']
v/i/n,['wien']
v/i/l,['veal']
f/aI/,"['phi', 'fie']"
v/i/r,['veer']
v/i/p,['veep']
v/i/v,['vive']
/S/U/dst,['shouldst']
b/i/n,['bean']
sk/oU/k,['scoke']
b/i/l,"['biel', 'bhil']"
b/i/m,['beam']
b/i/k,"['beek', 'beak']"
d/I/ks,['dix']
b/i/f,['beef']
b/i/d,"['bead', 'bede']"
b/i/b,['beeb']
b/i/z,"['bise', 'bize']"
b/i/t,"['beat', 'beet', 'bete']"
b/i/r,"['beer', 'bier']"
b/i/s,['bies']
b/i/p,['beep']
n/I/b,['nib']
r/&/mp,['ramp']
sp/E/ks,['specs']
k/i/,"['ki', 'quay', 'key']"
l/U/dZ/,['lodz']
sp/E/kl,['speckle']
h/i/d,"[""he'd"", 'heed']"
b/I/tS/,['bitch']
pr/&/m,['pram']
h/i/l,"['hele', 'heal', ""he'll"", 'heel']"
h/i/m,"['haem', 'heme']"
pr/&/d,['prad']
h/i/,['he']
h/i/t,['heat']
h/i/v,['heave']
/D/@/rz,"[""there's""]"
n/I/l,"['nil', 'nill']"
h/i/r,"['heer', 'hear', 'here']"
pr/&/t,['prat']
h/i/z,"['heize', 'heeze', ""he's""]"
d/j/y/r,['gyor']
h/O/rnd,['horned']
kl/aI/v,['clive']
n/E/t,['net']
sn/i/S/,['sneesh']
kl/aI/m,"['climb', 'clime']"
kl/aI/n,"['cline', 'kleine', 'kline', 'klein']"
w/A/ts,['watts']
kl/aI/d,['clyde']
kl/I/N/k,['clink']
s/AU/T/,['south']
/S/r/u/d,['shrewd']
b/E/st,['best']
m/eI/ld,['mailed']
d/eI/zArg,['desargues']
Alw/E/t,"['alouette', 'alouettes']"
v/Oi/s,['voice']
s/u/s,['seuss']
s/u/p,['soup']
h/O/lt,['halt']
s/u/k,"['souk', 'suq']"
v/j/O/l,['violle']
s/u/m,['soom']
s/u/l,['sool']
r/AU/ns,['rounce']
n/j/E/ps,['niepce']
n/E/d,['ned']
t/@/rs,"['terce', 'terse']"
t/@/rm,['term']
t/@/rn,"['tern', 'terne', 'turn']"
d/E/T/,['death']
t/@/rk,['turk']
t/@/rd,['turd']
t/@/rf,['turf']
s/O/t,['sought']
s/O/s,['sauce']
s/O/m,['somme']
/D/ats/D/at,"[""that's_that""]"
s/O/n,['sawn']
s/O/k,['sauk']
sw/O/r/T/,['swarth']
b/@/mf,['bumf']
b/@/mp,['bump']
/tS/eI/n/dZ/,['change']
b/&/S/,['bash']
gw/I/n,"['gwynne', 'gwyn']"
sn/I/p,['snip']
sn/I/t,['snit']
gw/I/b,['guib']
sn/I/k,['snick']
sn/I/f,['sniff']
sn/I/g,['snig']
s/u/,"['sue', 'sioux']"
/j/&/k,['yak']
g/eI/,"['gey', 'gay', 'guay']"
z/aI/st,['zeist']
twelv/@/klok,"[""twelve-o'clock""]"
tr/&/kt,['tract']
s/A/NfrwA,['sang-froid']
d/@/z,['does']
d/@/p,['dup']
d/@/r,['dare']
/A/NbrWAZ,['ambroise']
d/@/v,['dove']
d/@/k,['duck']
d/@/m,['dumb']
d/@/l,['dull']
d/@/n,"['donne', 'dunne', 'done', 'dunn', 'dun']"
d/@/b,['dub']
/S/ArnY,['charnu']
d/@/d,['dud']
d/@/g,"['doug', 'dug']"
d/@/f,['duff']
t/eI/lz,['tailles']
/tS/&/mp,['champ']
k/U/N/,['kung']
kl/aI/st,['kleist']
h/A/r/T/,['hearth']
sp/eI/,"['spay', 'spae']"
w/U/dst,['wouldst']
skw/E/g,['squeg']
rYd,['rude']
m/&/S/,['mash']
sA/i/rA,['ca_ira']
r/eI/klAm,['reclame']
/S/r/A/f,['shroff']
mAr/&/N,['marin']
sw/aI/p,['swipe']
st/oU/r,['store']
st/oU/s,['stoss']
st/oU/p,"['stope', 'stowp']"
st/oU/v,['stove']
st/oU/t,"['stoat', 'stoit']"
d/E/lft,['delft']
st/oU/k,['stoke']
st/oU/n,['stone']
st/oU/l,['stole']
sw/aI/n,['swine']
t/&/ft,['taft']
k/aI/D/,"['kithe', 'kythe']"
had/@/nt,"[""hadn't""]"
/j/u/,"['you', 'u', 'ewe', 'yew']"
br/AU/,['brow']
/j/O/rks,['yorks']
skr/I/k,['schrik']
sk/@/t/S/,['scutch']
skr/I/p,['scrip']
br/I/sk,['brisk']
f/AU/lz,['fouls']
trWA/j/O/N,['troyon']
p/@/N/k,['punk']
p/&/tS/,['patch']
p/oU/rn,['porn']
sw/A/ts,['swats']
/dZ/i/,"['ge', 'g', 'gee', 'jee']"
p/oU/rt,"['porte', 'port']"
tw/I/tS/,['twitch']
b/@/N/,['bung']
k/E/mp,['kemp']
skor/tS/@/r,['scorcher']
fl/@/b,['flub']
/eI/p,['ape']
/eI/s,['ace']
l/j/O/d,['liod']
/eI/t,"['ait', 'ate', 'eight']"
dw/O/rf,['dwarf']
katsf/U/t,"[""cat's-foot""]"
/eI/b,['abe']
sp/@/n/dZ/d,['sponged']
/eI/k,"['ache', 'ake']"
pl/@/mp,['plump']
/eI/l,"['ail', 'ale']"
/eI/n,"['ane', 'ain', 'aisne']"
kl/&/p,['clap']
kl/&/s,['class']
sw/A/N/k,['swonk']
/@/sk,['usk']
/S/A/,['shah']
kl/&/k,"['clack', 'claque']"
kl/&/m,['clam']
kl/&/n,"['clan', 'klan']"
kl/&/d,['clad']
l/eI/,"['ley', 'lai', 'lay']"
vwAlA,['voila']
s/u/D/,['soothe']
/S/i/rs,['sheers']
frogzbit,"[""frog's-bit""]"
str/eI/nd,['strained']
/S/i/rd,['sheared']
n/u/,"['new', 'knew', 'nu', 'gnu']"
/S/Ar,['char']
st/@/rps,['stirps']
b/A/ks,['box']
d/@/r/dZ/,['dirge']
l/O/z,['lawes']
p/i/nd,['piend']
p/u/rbwAr,['pourboire']
/&/ft,['aft']
/D/ats,"[""that's""]"
h/&/N/,['hang']
/S/A/pt,['schapped']
n/I/ks,"['nix', 'nyx']"
br/A/,"['brahe', 'bra']"
kl/&/N/,['clang']
s/AU/nd,['sound']
d/A/rnd,['darned']
/Z/A/NbAr,['jambart']
pl/eI/n,"['plain', 'plane']"
nWAr,['noir']
n/i/ss,['nies']
